country;year;sex;age;suicides_no;population;suicides/100k pop; gdp_for_year ($) ;gdp_per_capita ($);generation
Albania;1987;male;15-24 years;21;312900;671;2,1566249;796;Generation X
Albania;1987;male;35-54 years;16;308000;519;2,1566249;796;Silent
Albania;1987;female;15-24 years;14;289700;483;2,1566249;796;Generation X
Albania;1987;male;75+ years;1;21800;459;2,1566249;796;G.I. Generation
Albania;1987;male;25-34 years;9;274300;328;2,1566249;796;Boomers
Albania;1987;female;75+ years;1;35600;281;2,1566249;796;G.I. Generation
Albania;1987;female;35-54 years;6;278800;215;2,1566249;796;Silent
Albania;1987;female;25-34 years;4;257200;156;2,1566249;796;Boomers
Albania;1987;male;55-74 years;1;137500;73;2,1566249;796;G.I. Generation
Albania;1987;female;5-14 years;0;311000;0;2,1566249;796;Generation X
Albania;1987;female;55-74 years;0;144600;0;2,1566249;796;G.I. Generation
Albania;1987;male;5-14 years;0;338200;0;2,1566249;796;Generation X
Albania;1988;female;75+ years;2;36400;549;2,1260000;769;G.I. Generation
Albania;1988;male;15-24 years;17;319200;533;2,1260000;769;Generation X
Albania;1988;male;75+ years;1;22300;448;2,1260000;769;G.I. Generation
Albania;1988;male;35-54 years;14;314100;446;2,1260000;769;Silent
Albania;1988;male;55-74 years;4;140200;285;2,1260000;769;G.I. Generation
Albania;1988;female;15-24 years;8;295600;271;2,1260000;769;Generation X
Albania;1988;female;55-74 years;3;147500;203;2,1260000;769;G.I. Generation
Albania;1988;female;25-34 years;5;262400;191;2,1260000;769;Boomers
Albania;1988;male;25-34 years;5;279900;179;2,1260000;769;Boomers
Albania;1988;female;35-54 years;4;284500;141;2,1260000;769;Silent
Albania;1988;female;5-14 years;0;317200;0;2,1260000;769;Generation X
Albania;1988;male;5-14 years;0;345000;0;2,1260000;769;Generation X
Albania;1989;male;75+ years;2;22500;889;2,3351250;833;G.I. Generation
Albania;1989;male;25-34 years;18;283600;635;2,3351250;833;Boomers
Albania;1989;male;35-54 years;15;318400;471;2,3351250;833;Silent
Albania;1989;male;55-74 years;6;142100;422;2,3351250;833;G.I. Generation
Albania;1989;male;15-24 years;12;323500;371;2,3351250;833;Generation X
Albania;1989;female;35-54 years;7;288600;243;2,3351250;833;Silent
Albania;1989;female;15-24 years;5;299900;167;2,3351250;833;Generation X
Albania;1989;female;25-34 years;2;266300;75;2,3351250;833;Boomers
Albania;1989;female;55-74 years;1;149600;67;2,3351250;833;G.I. Generation
Albania;1989;female;5-14 years;0;321900;0;2,3351250;833;Generation X
Albania;1989;female;75+ years;0;37000;0;2,3351250;833;G.I. Generation
Albania;1989;male;5-14 years;0;349700;0;2,3351250;833;Generation X
Albania;1992;male;35-54 years;12;343800;349;0,7094526;251;Boomers
Albania;1992;male;15-24 years;9;263700;341;0,7094526;251;Generation X
Albania;1992;male;55-74 years;5;159500;313;0,7094526;251;Silent
Albania;1992;male;25-34 years;7;245500;285;0,7094526;251;Boomers
Albania;1992;female;15-24 years;7;292400;239;0,7094526;251;Generation X
Albania;1992;female;25-34 years;4;267400;15;0,7094526;251;Boomers
Albania;1992;female;35-54 years;2;323100;62;0,7094526;251;Boomers
Albania;1992;female;55-74 years;1;164900;61;0,7094526;251;Silent
Albania;1992;female;5-14 years;0;336700;0;0,7094526;251;Millenials
Albania;1992;female;75+ years;0;38700;0;0,7094526;251;G.I. Generation
Albania;1992;male;5-14 years;0;362900;0;0,7094526;251;Millenials
Albania;1992;male;75+ years;0;23900;0;0,7094526;251;G.I. Generation
Albania;1993;male;15-24 years;18;243300;74;1,2280710;437;Generation X
Albania;1993;male;55-74 years;7;165000;424;1,2280710;437;Silent
Albania;1993;male;75+ years;1;24200;413;1,2280710;437;G.I. Generation
Albania;1993;male;25-34 years;9;230100;391;1,2280710;437;Boomers
Albania;1993;female;15-24 years;10;285300;351;1,2280710;437;Generation X
Albania;1993;male;35-54 years;10;350300;285;1,2280710;437;Boomers
Albania;1993;female;25-34 years;7;261800;267;1,2280710;437;Boomers
Albania;1993;female;35-54 years;7;331200;211;1,2280710;437;Boomers
Albania;1993;female;55-74 years;2;169500;118;1,2280710;437;Silent
Albania;1993;female;5-14 years;1;340300;29;1,2280710;437;Millenials
Albania;1993;male;5-14 years;1;367000;27;1,2280710;437;Millenials
Albania;1993;female;75+ years;0;39300;0;1,2280710;437;G.I. Generation
Albania;1994;male;75+ years;2;24600;813;1,9856738;697;G.I. Generation
Albania;1994;male;55-74 years;11;171400;642;1,9856738;697;Silent
Albania;1994;female;75+ years;2;39900;501;1,9856738;697;G.I. Generation
Albania;1994;male;25-34 years;6;231400;259;1,9856738;697;Boomers
Albania;1994;male;35-54 years;9;362800;248;1,9856738;697;Boomers
Albania;1994;male;15-24 years;6;242200;248;1,9856738;697;Generation X
Albania;1994;female;15-24 years;6;282600;212;1,9856738;697;Generation X
Albania;1994;female;25-34 years;4;261100;153;1,9856738;697;Boomers
Albania;1994;female;35-54 years;2;342500;58;1,9856738;697;Boomers
Albania;1994;female;55-74 years;1;174600;57;1,9856738;697;Silent
Albania;1994;male;5-14 years;1;371800;27;1,9856738;697;Millenials
Albania;1994;female;5-14 years;0;344400;0;1,9856738;697;Millenials
Albania;1995;male;25-34 years;13;232900;558;2,4244990;835;Generation X
Albania;1995;male;55-74 years;9;178000;506;2,4244990;835;Silent
Albania;1995;female;75+ years;2;40800;49;2,4244990;835;G.I. Generation
Albania;1995;female;15-24 years;13;283500;459;2,4244990;835;Generation X
Albania;1995;male;15-24 years;11;241200;456;2,4244990;835;Generation X
Albania;1995;male;75+ years;1;25100;398;2,4244990;835;G.I. Generation
Albania;1995;male;35-54 years;14;375900;372;2,4244990;835;Boomers
Albania;1995;female;25-34 years;7;264000;265;2,4244990;835;Generation X
Albania;1995;female;35-54 years;8;356400;224;2,4244990;835;Boomers
Albania;1995;male;5-14 years;6;376500;159;2,4244990;835;Millenials
Albania;1995;female;55-74 years;2;180400;111;2,4244990;835;Silent
Albania;1995;female;5-14 years;2;348700;57;2,4244990;835;Millenials
Albania;1996;male;75+ years;2;25400;787;3,3148983;1127;G.I. Generation
Albania;1996;male;15-24 years;17;243600;698;3,3148983;1127;Generation X
Albania;1996;male;25-34 years;14;235300;595;3,3148983;1127;Generation X
Albania;1996;female;15-24 years;16;287700;556;3,3148983;1127;Generation X
Albania;1996;female;75+ years;2;41200;485;3,3148983;1127;G.I. Generation
Albania;1996;female;25-34 years;10;267900;373;3,3148983;1127;Generation X
Albania;1996;male;35-54 years;12;379600;316;3,3148983;1127;Boomers
Albania;1996;female;35-54 years;9;362000;249;3,3148983;1127;Boomers
